id,PositionTitle,SectorName,SubSectorName,WageMin,WageMin,WageMax,WageMax,PositionDescription,CandidateExperienceQualificationsSkills,EducationRequired,MinHoursPerWeek,MaxHoursPerWeek,LeadFulfillmentCenter,PositionType
16,CSR MMC,"Administrative, Support, Waste Management and Remediation Services",Employment Services / Temp Agencies,13,34666.66667,13,34666.66667,"Superior Staffing is the provider of clerical and data entry personnel through temp-perm assignments for EZ Pass. It is a premier temporary staffing service providing immediate personal attention 24 hours a day, seven days a week. Customer Service Representatives will be responsible for fielding inbound calls regarding EZ Pass account billing inquiries.",Must be customer service oriented. Must have light computer skills and able to sit for long periods of time.,None,30,40,45967,Customer Service (Non-Sales)
17,Grocery Store Team Member,Retail Trade,Food and Beverage Stores,13,34666.66667,13,34666.66667,Local supermarket chain is looking to hire Grocery Store Team Members. The Grocery Store Team Member will be responsible for ringing up customer orders on the register and stocking shelves as required.,"All candidates must have 3 months of customer service experience. Nights and weekends are required. Standing for long periods of time, as well as the ability to lift items weighing in excess of 30 pounds is also required.",None,30,30,46215,"Sales, Marketing, Wholesaling"
18,Security Guards,"Administrative, Support, Waste Management and Remediation Services",Investigation and Security Services,13,34666.66667,13,34666.66667,"New York City based security company is hiring Security Guards for their Staten Island location. They have immediate openings for security professionals to work at a variety of locations throughout Staten Island. Responsibilities include: maintaining a safe environment for clients, employees and co-workers; promoting positive public relations by offering courteous services to all tenants, visitors and guests while responding to their requests; controlling access to the building and monitoring visitors' activities; being able to assist in emergency situations; and monitoring properties and maintaining daily logs and shift reports.","New York State security license is required. Must also be able to assist in emergency situations. Responsibilities include, but are not limited to: monitoring properties, as well as maintaining daily logs and shift reports.",None,30,30,45969,Protective Service
19,Security Guard,"Administrative, Support, Waste Management and Remediation Services",Investigation and Security Services,13,34666.66667,13,34666.66667,Local security company is looking to hire Security Guards for their Staten Island locations. The position entails patrolling assigned areas and manning assigned posts to ensure the safety of both people and property. They will also be expected to take detailed notes on any and all incidents that may occur.,"To be considered qualified for this position, candidates must have all necessary certifications. Candidates must be able to work a flexible schedule including nights, weekends and holidays. Candidates must be able to stand for long periods of time and perform all physical activities required by the position. Must have New York State Security License and 8 & 16 Hour.",None,30,30,45970,Protective Service
20,Home Health Aide,Health Care & Social Assistance,Home Health Care Services,13,34666.66667,13,34666.66667,"Partners in Care, a not-for-profit organization, provides Certified Home Health Aides and Private-Duty Nurses who are experienced, compassionate, reliable and highly attentive to the individuals in their care. The Home Health Aide will be responsible for assisting clients with activities of daily living. The Home Health Aide will also be responsible for providing assistance with household duties and meal preparation as needed.","Must be physically fit (able to bend, reach, crouch, and transfer more than 50lbs on a regular basis). Must also have excellent communication and interpersonal skills.",None,30,40,45971,Healthcare Practitioners and Support
21,Front of House,Accommodation & Food Services,Food Services,15,40000,15,40000,"The Front of House team ensures that guests have an unparalleled experience by providing fast, friendly service and being attentive to the guests needs. Previous experience in a full service restaurant is required.",Must have at least 1 year of experience in a full service restaurant.,None,20,30,46073,Food Service and Accommodations
22,Back of House,Accommodation & Food Services,Food Services,13,34666.66667,15,40000,Full service restaurant and arcade is looking for fun and energetic people to work in the BOH positions. Must be able to adhere to recipes and sanitation practices.,Must be able to commit to a flexible schedule. Must have previous experience working in a high volume kitchen.,None,20,30,46074,Food Service and Accommodations
23,Team Members,"Administrative, Support, Waste Management and Remediation Services",Other Support Services ,13,34666.66667,16,42666.66667,Local bakery is looking to hire Team Members. Assistant Bakers will be responsible for providing assistance to Bakers and Chefs in the bakery or restaurant set up. The Deli/Counter Staff will be responsible for unpacking meat and stocking other inventory. They will also assist with cleaning the facility and prep work. Line Cooks will be responsible for coordinating food orders to support timely and efficient delivery to each table. They will also ensure proper food safety and sanitation standards to ensure guest safety.,Some food service experience is preferred.,High School Diploma,40,40,46151,Food Service and Accommodations
24,Call Center Representative,Information,Information,15,40000,15,40000,"A consultant office is looking for Call Center Representatives for their Staten Island location. The position entails making cold calls to generate leads, following up with customers who express interest and providing excellent customer service.",Some customer service experience would be preferred. Candidate must be able to learn quickly and be self-motivated. Candidate must be comfortable making cold calls. Candidate must have strong communication skills.,High School Diploma,40,40,46156,Customer Service (Non-Sales)
25,Food Service Team Member,Accommodation & Food Services,Full-Service Restaurants,14,37333.33333,15,40000,Local Italian restaurant is looking to hire Food Service Team Members for their new location. All Food Service Team Members will be expected to perform all job responsibilities with an outgoing and enthusiastic approach. They will be expected to provide exceptional customer service to all patrons.,Some restaurant experience is required.,High School Diploma,40,40,46157,Food Service and Accommodations
26,Food Service Team Member,Accommodation & Food Services,Full-Service Restaurants,14,37333.33333,15,40000,"Local quick serve restaurant chain is looking for Food Service Team Members. Duties will include: enthusiastically greeting all guests with a hearty 'Welcome to Moe's' when they enter the restaurant; providing prompt, efficient, courteous service to all guests; handling guest complaints in a timely manner; inquiring about the quality of a guests dining experience; thanking guests and inviting them to return; taking register readings; handling cash in an accurate and responsible manner; answering the telephone, taking messages and To Go orders; assembling food and explaining menu items; maintaining guest checks in numerical orders; and performing other tasks as directed by management.",Some food service experience is required.,High School Diploma,40,40,46162,Food Service and Accommodations
27,Hotel Staff,Accommodation & Food Services,Accommodation,13,34666.66667,15,40000,"Large hotel chain on Staten Island is looking to hire Hotel Staff. They will actively welcome, greet and check guests in. They will inform guests with knowledge of the hotel, its services, the city and local happenings'. The ideal candidates will ensure all requests are dealt with immediately, and that guests receive the appropriate service, attention and follow up. They will ensure the cleanliness of the guest corridors at all times throughout the day, including the cleaning of glass, furniture, wall surfaces, windows, dusting light fixtures, air ventilators, metals, sweeping and mopping floors and staircases, cleaning and shampooing carpets, cleaning walls, doors, frames, rails and other projects as assigned by management.","Candidates should have a great attitude and excellent customer service skills. They must be able to understand and speak English. They must also be able to bend, stretch, reach and lift at least 30 pounds. No experience necessary, but candidates must have a strong desire to be in a hotel environment.",High School/GED,30,40,46216,Food Service and Accommodations
28,Direct Care Worker,Health Care & Social Assistance,Other Healthcare,13,34666.66667,13,34666.66667,"The Direct Care Worker will be responsible for day-to-day care of the children or adolescents in a residential setting including helping consumers to maintain their personal hygiene, social guidance, use of leisure time, and food planning and preparation.","Candidates must be compassionate and energetic individuals interested in working with the developmentally disabled. The Direct Care Worker will work within their residential group homes to support adults as they learn independence skills such as socialization, cooking, cleaning and traveling. New York State Driver's License required.",High School Diploma,30,40,46224,"Social Work, Child Care, Counseling"
29,Hotel Staff,Accommodation & Food Services,Accommodation,13,34666.66667,13,34666.66667,"Large hotel chain on Staten Island is looking to hire Hotel Staff. They will actively welcome, greet and check guests in. They will inform guests with knowledge of the hotel, its services, the city and local happenings'. The ideal candidates will ensure all requests are dealt with immediately, and that guests receive the appropriate service, attention and follow up. They will ensure the cleanliness of the guest corridors at all times throughout the day, including the cleaning of glass, furniture, wall surfaces, windows, dusting light fixtures, air ventilators, metals, sweeping and mopping floors and staircases, cleaning and shampooing carpets, cleaning walls, doors, frames, rails and other projects as assigned by management.","Candidates should have a great attitude and excellent customer service skills. They must be able to understand and speak English. They must also be able to bend, stretch, reach and lift at least 30 pounds. No experience necessary, but candidates must have a strong desire to be in a hotel environment.",High School/GED,30,40,46245,Food Service and Accommodations
30,Front Desk,Accommodation & Food Services,Accommodation,13,34666.66667,13,34666.66667,"Front Desk will be responsible for providing the highest quality of services to guests, effectively dealing with all guest complaints and requests, checking guests in and out, collecting payment, and other duties as directed by management.",Must have a clean and valid drivers license. Must have open availability weekends. Must be customer service oriented.,High School/GED,30,30,46247,Food Service and Accommodations
31,Telemarketer,"Administrative, Support, Waste Management and Remediation Services",Other Support Services ,13,34666.66667,15,40000,Telemarketer is required to make about 50-80 calls to sales leads per day. The sales leads are generated by the marketing manager. The Telemarketer will be selling a multitude of IT products and services.,Previous sales experience is a big plus. Must have sales driven personality. Must have the ability to learn and take direction. Must be able to make 50-80 calls per day. Must have a clear and professional speaking voice and be comfortable making phone calls.,High School/GED,30,40,46249,"Sales, Marketing, Wholesaling"
32,Cook,Health Care & Social Assistance,Nursing and Residential Care Facilities,13,34666.66667,15,40000,"The Cook is responsible for the preparation and serving of meals, sanitation of food service areas, accurate record keeping, receiving, rotating and inventory of products and regulatory compliance.","Must maintain a current ServSafe certificate (food services sanitation certificate) or able to participate in the food services sanitation training to become ServSafe certified. Must have one year job related experience, including food preparation, full-line menu items and therapeutic diets. A culinary apprenticeship or training is preferred. A High School Diploma or GED is required. Must have the ability to handle multiple priorities, possess written and verbal skills for effective communication, be competent in organizational, time management skills and demonstrate good judgment, problem solving and decision making skills. Will also need to demonstrate the ability to serve seniors in a team environment.",High School/GED,30,40,46273,Food Service and Accommodations
